,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
10,Metro Ecuador,@MetroEcuador,2021-09-02T21:19:23.000Z," Ecuador 0   Paraguay  0

 Fecha 9   #ClasificatoriaQatar2022 

Estadio  Rodrigo Paz Delgado 

 06 Primer cambio en Paraguay: 

 Ingresó Robert Rojas
Salió  Alberto Espínola",,🆚 🗓 🏆 ⚽ 🏟 ⏱ ➡ ⬅,,2,2,[],https://twitter.com/MetroEcuador/status/1433540080065413121
11,Metro Ecuador,@MetroEcuador,2021-09-02T23:00:22.000Z," Ecuador 2  Paraguay  0

Fecha 9 #ClasificatoriaQatar2022 

Estadio  Rodrigo Paz Delgado 

¡Fin del cotejo! Y la Tricolor ilusiona ",,🆚 🗓 🏆 ⚽ 🏟 ⏱ 💛 💙 ❤,,1,5,[],https://twitter.com/MetroEcuador/status/1433565492338253826
12,Metro Ecuador,@MetroEcuador,2021-09-02T21:02:50.000Z," Ecuador  Paraguay 

 Fecha 9 

 #ClasificatoriaQatar2022 

Estadio  Rodrigo Paz Delgado 

 ¡Arranca el partido!",,🆚 🗓 🏆 ⚽ 🏟 ⏱,,1,2,[],https://twitter.com/MetroEcuador/status/1433535913842274327
13,Metro Ecuador,@MetroEcuador,2021-09-02T22:32:56.000Z," Ecuador 0  Paraguay  0

Fecha 9 #ClasificatoriaQatar2022 

Estadio  Rodrigo Paz Delgado 

 27' Ángel Mena vuelve a perder una importante oportunidad de gol.",,🆚 🗓 🏆 ⚽ 🏟 ⏱,,,3,[],https://twitter.com/MetroEcuador/status/1433558587985436673
14,Fabricio Rodríguez Yánez,@LFabricioRY,2021-09-02T23:23:48.000Z,Ese niño representa a todo el Ecuador tras la victoria de la Tri.  #Ecuador #EliminatoriasQatar2022 #EliminatoriasSudamericanas,,🍫 ❤,1,31,111,['https://pbs.twimg.com/ext_tw_video_thumb/1433571324572618753/pu/img/nan76ySs64W4gHTd.jpg'],https://twitter.com/LFabricioRY/status/1433571388401594377
15,Metro Ecuador,@MetroEcuador,2021-09-02T21:49:47.000Z,"¡Fin del primer tiempo!  
#Ecuador  0 - 0  #Paraguay
¿Cómo vio el desempeño de la ‘Tri’ en esta primera parte?",,⚽,1,1,1,['https://pbs.twimg.com/media/E-T8Cz8VcCsk30t?format=jpg&name=small'],https://twitter.com/MetroEcuador/status/1433547729293111322
16,Cancillería del Ecuador,@CancilleriaEc,2021-09-02T20:39:03.000Z,"En estos #100PrimerosDíasJuntos hemos fortalecido las relaciones bilaterales con Estados Unidos. Durante la visita de senadores y representantes de ese país al Ecuador, se abordaron temas de interés mutuo en seguridad, cooperación, vacunación masiva y reactivación. ",,🤝,,11,14,['https://pbs.twimg.com/ext_tw_video_thumb/1433529587456036864/pu/img/_FUm1Qg3VOhC-9eq.jpg'],https://twitter.com/CancilleriaEc/status/1433529928260079618
17,Helloseok♡⁷ STEREOTYPE❁,@helloseok9,2021-09-02T22:59:43.000Z,"Joder que lindo ver esto 
Ecuador supremacy",,🦕,,37,141,['https://pbs.twimg.com/media/E-UL71_VkAM1Q50?format=png&name=small'],https://twitter.com/helloseok9/status/1433565327611228169
18,TELEPRODUCCIONES ECUATORIANAS,@TPEecuador,2021-09-02T22:59:30.000Z,"Vamos selección
Vamos #Tricolor
#EliminatoriasSudamericanas
#Ecuador 2 - 0 #Paraguay
#EntretiempoDeportivo
#TeleproduccionesEcuatorianas",,,,,3,['https://pbs.twimg.com/media/E-UMBScVQCMm-1m?format=jpg&name=small'],https://twitter.com/TPEecuador/status/1433565275987668996
19,Metro Ecuador,@MetroEcuador,2021-09-02T21:33:59.000Z," Ecuador 0   Paraguay  0

 Fecha 9   #ClasificatoriaQatar2022 

Estadio  Rodrigo Paz Delgado 

 31' Saque de banda para la Tricolor. Ejecuta Pervis Estupiñán.",,🆚 🗓 🏆 ⚽ 🏟 ⏱,,1,2,[],https://twitter.com/MetroEcuador/status/1433543753537515530
20,Metro Ecuador,@MetroEcuador,2021-09-02T22:08:40.000Z," Ecuador 0   Paraguay  0

 Fecha 9   #ClasificatoriaQatar2022 

Estadio  Rodrigo Paz Delgado 

¡Arranca el segundo tiempo!",,🆚 🗓 🏆 ⚽ 🏟 ⏱,1,,1,[],https://twitter.com/MetroEcuador/status/1433552482404233216
21,૮σiʍβʀᴀ,@coimbra1990,2021-09-02T22:58:19.000Z,"Grande Ecuador 
Triunfazo 2x0
Puntos importantísimos...
BYRON CASTILLO lo mejor de la TRI ",,🎉,3,44,334,['https://pbs.twimg.com/media/E-ULv90UcAAG2mV?format=jpg&name=small'],https://twitter.com/coimbra1990/status/1433564977806262290
22,Riesgos Ecuador,@Riesgos_Ec,2021-09-02T20:55:00.000Z,"#9MillonesDeGracias | 
@Salud_CZ2
 es parte de este hito histórico del
#GobiernoDelEncuentro.
 
#JuntosLoLogramos
#100PrimerosDíasJuntos",,,,2,2,"['https://pbs.twimg.com/media/E-TrjFNVcAgbYs4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-TrjnXVIAcdIQR?format=jpg&name=360x360']",https://twitter.com/Riesgos_Ec/status/1433533942045499397
23,Jorge Giraldo,@jorgeenrique462,2021-09-02T23:10:39.000Z,"#EliminatoriasQatar2022
Ecuador venció 2-0 a Paraguay y es segundo en la tabla de posiciones con 12 puntos.",,,,,,['https://pbs.twimg.com/media/E-UOkhdWQAUnOep?format=jpg&name=small'],https://twitter.com/jorgeenrique462/status/1433568079867490305
24,LDU Centrales,@LDU_Centrales,2021-09-02T23:03:18.000Z,"Final del partido en el RODRIGO PAZ DELGADO, 
@LaTri
 se lleva 3 valiosos puntos.
Goles 
Felix Torres
Michael Estrada 

2x0
#ECUvsPAR
 Ecuador-Paraguay 

#CentralesLDU 
#LDU 

CENTRALES LDU ",,⭐ ⭐ ⭐ ⭐,,,3,['https://pbs.twimg.com/media/E-UM4_YVkAIJAZ5?format=jpg&name=small'],https://twitter.com/LDU_Centrales/status/1433566232796614656
25,BOCA ROSA GRUPO,@GRUPOBOCAROSA,2021-09-02T23:22:00.000Z,Celebramos el triunfo de #nuestraselección frente a #Paraguay... ¡Que viva el #Ecuador!  #grupobocarosa #tricolor #festejo ,,⚽ 🥅,1,,2,['https://pbs.twimg.com/media/E-URKwIVQBU50S2?format=jpg&name=small'],https://twitter.com/GRUPOBOCAROSA/status/1433570935005663234
26,Metro Ecuador,@MetroEcuador,2021-09-02T22:23:01.000Z," Ecuador 0  Paraguay  0

Fecha 9 #ClasificatoriaQatar2022 

Estadio  Rodrigo Paz Delgado 

 14' Posición adelantada de  Valencia",,🆚 🗓 🏆 ⚽ 🏟 ⏱,,1,,[],https://twitter.com/MetroEcuador/status/1433556093154709507
27,RedProTur Ecuador,@RedProTurEcuado,2021-09-02T23:15:26.000Z,"Panel 2: “Política, Legislación y Normativa Turística en Ecuador”.
De izquierda a derecha: Iván Vélez, Yorgi Ramírez, Ricardo Carrera, Carlos García. #Convenciontur2021",,,,1,5,['https://pbs.twimg.com/media/E-UPqcsWYAYfkp5?format=jpg&name=small'],https://twitter.com/RedProTurEcuado/status/1433569285570379801
28,La Voz del Tomebamba,@tomebamba,2021-09-02T21:00:29.000Z,"#ECUvsPAR |

Inicia el partido en el estadio  Rodrigo Paz Delgado de Quito.

  Ecuador  Paraguay ",,🏟 🆚,,1,2,['https://pbs.twimg.com/media/E-Twx5hVcBkOIaz?format=jpg&name=small'],https://twitter.com/tomebamba/status/1433535324291018756
29,Guía - Conductor Ecuador,@ecuador_guia,2021-09-02T23:12:05.000Z,NO ESTÁ POR DEMÁS RECORDARLO...,,👇,,2,11,['https://pbs.twimg.com/media/E-UO5fBVcAIdD7E?format=jpg&name=small'],https://twitter.com/ecuador_guia/status/1433568439344447488
30,Saje lv's sara,@sajeggukie,2021-09-02T22:54:01.000Z,TRI DE MI VIDAAAAAAAAA,,💌 👅,,1,1,[],https://twitter.com/sajeggukie/status/1433563896019763226
31,Garlo,@garloEC,2021-09-02T21:16:20.000Z,"Estamos con un ojo en el trabajo y con el otro puesto en las #EliminatoriasQatar2022  Vamos 
@LaTri
 #ecuador",,😅,,1,4,['https://pbs.twimg.com/media/E-T0Y3uVcAoUcBQ?format=jpg&name=small'],https://twitter.com/garloEC/status/1433539311274586113
32,Metro Ecuador,@MetroEcuador,2021-09-02T22:40:29.000Z," Ecuador 0  Paraguay  0

Fecha 9 #ClasificatoriaQatar2022 

Estadio  Rodrigo Paz Delgado 

 34' Doble cambio Tricolor

 Valencia 
 Estrada  

 Mena 
 Sornoza",,🆚 🗓 🏆 ⚽ 🏟 ⏱ ⬅ ➡ ⬅ ➡,,,,[],https://twitter.com/MetroEcuador/status/1433560488181305347
33,Armadaecuatoriana,@armada_ecuador,2021-09-02T20:18:27.000Z,"El Coronel konrad Law Agregado #Militar Aéreo y #Naval de Alemania en Chile concurrente al Ecuador mantuvo una reunión de trabajo con el Contralmirante Brúmel Vázquez, Comandante General de la Armada.",,,,1,9,['https://pbs.twimg.com/media/E-TnJvBVgAAh5dV?format=jpg&name=small'],https://twitter.com/armada_ecuador/status/1433524746625355780
34,PREMIUM,@premium0608,2021-09-02T22:03:26.000Z,"#EliminatoriasQatar2022 Ya se juega el segundo tiempo en el estadio Casa Blanca de Quito. Ecuador y Paraguay igualan sin goles.
(Foto: Conmebol)",,,,,,['https://pbs.twimg.com/media/E-T-hFAVcBY2KbL?format=jpg&name=small'],https://twitter.com/premium0608/status/1433551163853475840
35,GyHoy juega la Tri,@lightsup_styles,2021-09-02T22:57:33.000Z,"Definitivamente orgullosa de ser Ecuatoriana

La Tri es lo máximo!",,🧈 🐰 🥳,1,23,50,['https://pbs.twimg.com/media/E-ULkTZVkAgqXad?format=jpg&name=small'],https://twitter.com/lightsup_styles/status/1433564785879273473
36,• Soldado Del Ídolo •,@IdoloSoldado,2021-09-02T23:15:15.000Z,"¡¡¡MIRA NADA MÁS LO QUE HIZO ESE DEMENTE!!!

MICHAEL ESTRADA MODO SELECCIÓN 

#EcuadorVsParaguay 
#Ecuador","From 
Marco",,1,27,69,['https://pbs.twimg.com/ext_tw_video_thumb/1433566107051311123/pu/img/2ogrG3JhDP5ortCB.jpg'],https://twitter.com/IdoloSoldado/status/1433569238606823425
37,Somos 90,@Somos90fut,2021-09-02T22:57:04.000Z,"FT - Eliminatorias Sudamericanas:

VICTORIA importante de Ecuador ante Paraguay.

F. Torres y M. Estrada.

La Tri suma 12 puntos y, por el momento, ocupa la segunda posición de la clasificación.",,⌚ 🏆 🏟 ⚽ 📊,,2,1,['https://pbs.twimg.com/media/E-ULdEwVQAA5q2_?format=jpg&name=small'],https://twitter.com/Somos90fut/status/1433564660817534977
38,La Hinchada Fail,@EmelecDice,2021-09-02T23:51:38.000Z,"-El peor Paraguay de la Historia !!!
-Oye no es BSC, es la Tri
-Disculpa, el mejor Ecuador que vi en mi vida 

@
@
@",,,5,64,190,[],https://twitter.com/EmelecDice/status/1433578396139802625
39,Fausto Cevallos,@faustocevallos,2021-09-02T22:58:31.000Z,"#Ecuador 2 #Paraguay 0
A seguir así 
@LaTri
 ",,💛 💙 ❤,,,1,[],https://twitter.com/faustocevallos/status/1433565026523258886
40,Mauricio Montalvo,@MMontalvoEC,2021-09-02T22:26:07.000Z,"La ayuda humanitaria del Ecuador  arribó a Haití  

#JuntosLoLogramos",,,1,36,148,"['https://pbs.twimg.com/media/E-UEYF7UYBAhawq?format=jpg&name=small', 'https://pbs.twimg.com/media/E-UEYFAVQAwDsiH?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-UEYFCVQAcmSVy?format=jpg&name=360x360']",https://twitter.com/MMontalvoEC/status/1433556875459526657
41,Espacio Fútbol,@EspacioFutbolOk,2021-09-02T23:10:54.000Z,"#Eliminatorias 

 #Ecuador 2-0 #Paraguay

 Goles de: F. Torres y M. Estrada.",,🌎 ✅ ⚽,1,3,3,['https://pbs.twimg.com/media/E-UOnkgVIAIojV1?format=jpg&name=small'],https://twitter.com/EspacioFutbolOk/status/1433568141834170368
42,ARMY Ecuador ⁷ᴮᴱ,@armys_ecuador,2021-09-02T23:16:11.000Z," RT si eres de Ecuador y estás alegre porque ganamos 

#MPN #BTS #ARMY #BUTTER #ButterClipe (
@BTS_twt
)",,🧈 🔃 🥳,,52,37,[],https://twitter.com/armys_ecuador/status/1433569472175034372
43,Pachi :),@ptmecu2801,2021-09-02T21:20:51.000Z,"Siempre con la Tri aunque me maten de iras
#EliminatoriasQatar2022",,,,,2,['https://pbs.twimg.com/media/E-T1cHlVcAYYQkw?format=jpg&name=medium'],https://twitter.com/ptmecu2801/status/1433540447608074241
44,fanshee rehabilitado,@choiscrybaby,2021-09-02T23:53:46.000Z,"Estaré así en lo que queda del día de hoy. Luego la cambiaré y volverá el domingo que vuelve a jugar Ecuador.

 #NouvellePhotoDeProfil",,,1,,2,['https://pbs.twimg.com/media/E-UYcCGXoAQuyvS?format=jpg&name=240x240'],https://twitter.com/choiscrybaby/status/1433578929420476421
45,Sportimba.com,@sportimba,2021-09-02T20:41:09.000Z, Así forman #Ecuador y #Paraguay por la fecha 09 de las #Eliminatorias. Washington Corozo será suplente - 16:00 H.R.S,,🔥 🔥,,,,"['https://pbs.twimg.com/media/E-TsVx3VEAMuOjz?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E-TsWjuUYAYnhu7?format=jpg&name=360x360']",https://twitter.com/sportimba/status/1433530459678461952
46,CorazonyPasesCortos,@CorazonyPases,2021-09-02T23:01:29.000Z,#EliminatoriasQatar2022 | Final en Quito. #Ecuador venció 2-0 a #Paraguay con goles de Torres y Estrada. Los dirigidos por Gustavo Alfaro se ubican parcialmente en el segundo puesto de la tabla.,,,,,,['https://pbs.twimg.com/media/E-UMakEVUAIS_Lz?format=jpg&name=small'],https://twitter.com/CorazonyPases/status/1433565774539472905
47,vic lvs tri,@_pjmygs,2021-09-02T19:37:30.000Z,les limpio el tl,,,,,2,['https://pbs.twimg.com/media/E-TdyXBXoAIb_tB?format=jpg&name=small'],https://twitter.com/_pjmygs/status/1433514440448675845
48,DIRECTV Ecuador,@DIRECTVEcuador,2021-09-02T23:35:07.000Z,  ¿Qué sucedió entre ellos? Descubre por qué los hijos de Lady Di se distanciaron en  𝐇𝐚𝐫𝐫𝐲 𝐚𝐧𝐝 𝐖𝐢𝐥𝐥𝐢𝐚𝐦: 𝐖𝐡𝐚𝐭 𝐖𝐞𝐧𝐭 𝐖𝐫𝐨𝐧𝐠  Esta noche 21:00hs por #OnDIRECTV (201/1201HD).,"0:13
680 views",🤔 💥 🤴,,,3,[],https://twitter.com/DIRECTVEcuador/status/1433574238900965376
49,Juanfran,@juanfranleon12,2021-09-02T22:19:20.000Z,"#Ecuador #FEF y nos siguen vendiendo humo, esos muertos pecho frío",,🦁,,,1,['https://pbs.twimg.com/media/E-UC0nIUcAEboV3?format=jpg&name=small'],https://twitter.com/juanfranleon12/status/1433555166297395206
50,Football24/7,@foet247america,2021-09-02T22:54:12.000Z,Ecuador 2 Paraguay 0. Estrada #WCQ2022 #ECUPAR,,,,,,['https://pbs.twimg.com/media/E-UKs0KUUAAhgDP?format=png&name=small'],https://twitter.com/foet247america/status/1433563940391305235
51,Nicolas Arias,@nicolasariasb1,2021-09-02T21:08:40.000Z,"Pronóstico para esta fecha #EliminatoriasSudamericanas #Qatar2022  
Colombia suma 3 de visita 
Ecuador se hace fuerte de local
Argentina el único ganador de visita 
Peru empezará a levantar 
Chile dará el golpe de la fecha",,,,,1,['https://pbs.twimg.com/media/E-Typb2VcBsTOYK?format=jpg&name=small'],https://twitter.com/nicolasariasb1/status/1433537381232259072
52,Mary_ Madrid,@MaryAltoke,2021-09-02T20:41:37.000Z,#GraciasReborn  es tendencia en Ecuador,,🌸 🌸 💕 😎,,,1,['https://pbs.twimg.com/media/E-Tsc03UYAE36NX?format=jpg&name=small'],https://twitter.com/MaryAltoke/status/1433530573717336070
53,Fabrizio Cuadros,@Fab27Cuadros,2021-09-02T22:27:14.000Z,"Tras recibir numerosas críticas en Sporting Cristal, decidió irse en préstamo a jugar al Pumas UNAM. Tras ser regular en México, logró ser convocado por su país, Ecuador. Acaba de entrar a jugar contra Paraguay, WASHINGTON COROZO
#EliminatoriasSudamericanas",,,2,,2,['https://pbs.twimg.com/media/E-UEiZ1VkAQeh0l?format=png&name=360x360'],https://twitter.com/Fab27Cuadros/status/1433557153445400579
54,Belén Estigarribia,@periodismobelen,2021-09-02T21:56:48.000Z,"¡Entretiempo! 
#Ecuador 0 vs #PARAGUAY 0
9ª Fecha - #EliminatoriasQatar2022",,,,,,[],https://twitter.com/periodismobelen/status/1433549495422251015
55,Manabí es como tú,@Manabiescomotu,2021-09-02T23:07:55.000Z,"¡Eso tilín! 
Hoy comiste bolón de verde 

¡Vamos Tri! 

#EliminatoriasSudamericanas #Ecuador #EliminatoriasQatar2022",,🎊 👏,,6,12,['https://pbs.twimg.com/media/E-UN8diVQAIShh-?format=jpg&name=small'],https://twitter.com/Manabiescomotu/status/1433567392148467715
56,Edgardo Aguilar,@don_agui74,2021-09-02T23:15:35.000Z,"¡ES, GRÍTEL!
#Ecuador 2
#Paraguay 0
#EcuadorVsParaguay 
#EliminatoriasQatar2022",,⚽ ⚽,,,1,['https://pbs.twimg.com/media/E-UPs1JVgAEB_Fx?format=jpg&name=small'],https://twitter.com/don_agui74/status/1433569323344404489
57,Kevin Haro,@KevinHaro22,2021-09-02T23:08:09.000Z,"ECU 2-0 PAR 
Con 12 puntos en 7 partidos (como ahora tiene Ecuador) se clasificaron para la Copa del Mundo 6 de 8 selecciones (75%) en CONMEBOL.
Fuente : 
@2010MisterChip
#EliminatoriasQatar2022 
#EliminatoriasSudamericanas",,,,,1,[],https://twitter.com/KevinHaro22/status/1433567452223389698
58,Erick Cadena,@cadeerck,2021-09-02T20:29:59.000Z,"Vamos ecuador , hoy ganamos tricolor. #LaTrixECDF 
@ElCanalDFutbol",,,,,,['https://pbs.twimg.com/media/E-Tpy4bUYAAWjOd?format=jpg&name=small'],https://twitter.com/cadeerck/status/1433527646797901825
59,Vip Noticias Ec,@VipNoticiasEc1,2021-09-02T23:04:29.000Z,"FIN DEL PARTIDO 
¡GANA #ECUADOR! supera  a #Paraguay 2-0 con goles de Félix Torres y Michael Estrada.
#EliminatoriasQatar2022
 ",,⚽ ⚽,,,1,['https://pbs.twimg.com/media/E-UNKL_VUAEN5TG?format=jpg&name=small'],https://twitter.com/VipNoticiasEc1/status/1433566527928746005
60,Belet,@braaet_,2021-09-02T21:50:57.000Z,1T a cero. Vamos mi #Tri en el segundo es todo!! #SiSePuede #Ecuador,,,,,1,[],https://twitter.com/braaet_/status/1433548023125221378
61,Jonathan Aristizábal,@aristizabaljona,2021-09-02T21:35:20.000Z,"Así van los primeros 30 minutos de Ecuador vs. Paraguay.

#EliminatoriasSudamericanas",GIF,,1,3,4,['https://pbs.twimg.com/tweet_video_thumb/E-T4v8sVcAUguWy.jpg'],https://twitter.com/aristizabaljona/status/1433544092412219394
62,PREMIUM,@premium0608,2021-09-02T22:30:01.000Z,"#EliminatoriasQatar2022 Ecuador y Paraguay continúan igualando sin goles en Quito. Se juegan 72 minutos.
(Foto: Conmebol)",,,,,,['https://pbs.twimg.com/media/E-UFIPiVcAYqFBa?format=jpg&name=small'],https://twitter.com/premium0608/status/1433557854217129994
63,Sportimba.com,@sportimba,2021-09-02T22:56:20.000Z," GOOOOOOOOOLAZO DE #MICHAELESTRADA A LOS 95'. #ECUADOR VENCIÓ 2-0 A #PARAGUAY Y MARCHA SEGUNDO EN LAS #ELIMINAYORIAS AH, PERO CON #PERÚ :V",,🔥 🔥,,,,['https://pbs.twimg.com/media/E-ULS6zUcAELMAW?format=jpg&name=small'],https://twitter.com/sportimba/status/1433564478751260674
64,Edgar Yar Jr.,@EdgarYar,2021-09-02T22:23:13.000Z,"¡VAMOS ECUADOR!  
@LaTri
 #VamosEcuador #LaTri",,💛 💙 ♥,,,,['https://pbs.twimg.com/media/E-UDs_DVQB0Jhkj?format=jpg&name=small'],https://twitter.com/EdgarYar/status/1433556142303506436
65,Pakoa,@pakoapostrebar,2021-09-02T23:25:41.000Z,"….y ganó La Tri
#Sunset #atPakoa en Pakoa Postre Bar https://instagram.com/p/CTVm3THMGkx/?utm_medium=twitter…",,‼,,,,[],https://twitter.com/pakoapostrebar/status/1433571862026592258
66,Pablo,@Pablohernanfer5,2021-09-02T20:56:59.000Z,Mates y #Ecuador  - #Paraguay  ,,🐔 🧉,,,,[],https://twitter.com/Pablohernanfer5/status/1433534440299454466
67,Dieghoel11,@dieghoel11,2021-09-02T23:40:17.000Z,"#EliminatoriasSudamericanas

Con goles de Félix Torres y Michael Estrada, #Ecuador derrotó a #Paraguay en #EliminatoriasQatar2022

 2  0 ",,🆚,,,,['https://pbs.twimg.com/media/E-UVWwiWQAIP8_h?format=jpg&name=small'],https://twitter.com/dieghoel11/status/1433575539391045641
68,Belet,@braaet_,2021-09-02T20:58:04.000Z,"Si hoy gana #Ecuador me hago unas 30 dominadas, 50 abds, 50 flexiones y 100 sentadillas!! #vamos Rumbo a #Qatar2022",,,,1,1,[],https://twitter.com/braaet_/status/1433534715726753796
69,Una Más y Te Expulso,@UmytexOficial,2021-09-02T22:06:21.000Z,"Y empieza la segunda parte del juego entre las selecciones de :
Ecuador  y Paraguay 
Que comienza con una acción de peligro para Ecuador con remate de Valencia 
#Qatar2022
#EliminatoriasSudamericanas 
#EliminatoriasQatar2022",,,,,1,[],https://twitter.com/UmytexOficial/status/1433551897277915136
70,Ecuatoriano Unido Pichincha . Dirección Provincial,@ECunido_Lista4,2021-09-02T23:12:19.000Z,"Con anotaciones de Félix Torres y Michael Estrada en los últimos minutos del partido, Ecuador se impuso en condición de local a Paraguay.
#EliminatoriasQatar2022",,,,,,['https://pbs.twimg.com/media/E-UO9FhXMAIqaM0?format=jpg&name=small'],https://twitter.com/ECunido_Lista4/status/1433568501223018497
71,Ernesto Fuentes,@Efuentesec,2021-09-02T23:32:15.000Z,"El impuesto a la Herencia, que más le afecta al bolsillo de los grandes patrimonios, si rapido lo va a eliminar 
@LassoGuillermo
. Más clara, el agua !!!. Su prioridad no es el Pueblo ni ""Lorenza"" la que vive con 1 dólar al dia. #Ecuador",,,4,56,93,[],https://twitter.com/Efuentesec/status/1433573515073048583
72,LA VOZ DE DAULE,@LAVOZDEDAULE,2021-09-02T23:57:10.000Z,"((())) EN VIVO

ATENTO VICTORIA DE #ECUADOR EN CASA. 

‍ El conjunto ecuatoriano se impone sobre el final y se queda con la victoria - ante Paraguay  con goles de Felix Torres y Michael Estrada por las #EliminatoriasCONMEBOL

COMPARTE NUESTRA INFORMACIÓN.",,🔴 👁 🗨 📲,,,1,['https://pbs.twimg.com/media/E-UZN1JWQAA3fE0?format=jpg&name=small'],https://twitter.com/LAVOZDEDAULE/status/1433579784966127617
73,Ecuador Noticias,@EcuadorWillana,2021-09-02T23:31:24.000Z,#Ecuador Canciller Montalvo: «contratos del correísmo en España no se han renovado» - https://ecuadorwillana.com/2021/09/02/canciller-montalvo-contratos-del-correismo-en-espana-no-se-han-renovado/…,,,,,,['https://pbs.twimg.com/media/E-UTUt9XoAgD6E0?format=jpg&name=small'],https://twitter.com/EcuadorWillana/status/1433573304615514123
74,9 AL ÁREA,@9alarea,2021-09-02T23:53:53.000Z,"TRIUNFO ECUATORIANO

Aquí el post 

#9AlÁrea #Ecuador #Paraguay #Sudamerica #CONMEBOL #EliminatoriasSudamericanas",,👇,,1,1,"['https://pbs.twimg.com/media/E-UYdK5XMAEpvQn?format=jpg&name=small', 'https://pbs.twimg.com/media/E-UYdkkXEAIXQ6Y?format=jpg&name=small']",https://twitter.com/9alarea/status/1433578961745989632
